Ticker,Company,Industry,Sector,DividendYield,PayoutRatio
GLW,Corning Incorporated,Electronic Components,Technology,0.76,0.612
CPAY,"Corpay, Inc.",Software - Infrastructure,Technology,,0.0
CTVA,"Corteva, Inc.",Agricultural Inputs,Basic Materials,0.84,0.4
CSGP,"CoStar Group, Inc.",Real Estate Services,Real Estate,,0.0
COST,Costco Wholesale Corporation,Discount Stores,Consumer Defensive,0.51,0.27040002
CTRA,Coterra Energy Inc.,Oil & Gas E&P,Energy,2.55,0.39290002
CRH,CRH PLC,Building Materials,Basic Materials,1.43,0.26860002
CRWD,"CrowdStrike Holdings, Inc.",Software - Infrastructure,Technology,,0.0
CCI,Crown Castle Inc.,REIT - Specialty,Real Estate,5.01,1.8859
CSX,CSX Corporation,Railroads,Industrials,1.36,0.3377
CMI,Cummins Inc.,Specialty Industrial Machinery,Industrials,1.42,0.3727
CVS,CVS Health Corporation,Healthcare Plans,Healthcare,3.62,1.9137
DHR,Danaher Corporation,Diagnostics & Research,Healthcare,0.84,0.2545
DRI,"Darden Restaurants, Inc.",Restaurants,Consumer Cyclical,3.06,0.6217
DDOG,"Datadog, Inc.",Software - Application,Technology,,0.0
DVA,DaVita Inc.,Medical Care Facilities,Healthcare,,0.0
DECK,Deckers Outdoor Corporation,Footwear & Accessories,Consumer Cyclical,,0.0
DE,Deere & Company,Farm & Heavy Construction Machinery,Industrials,1.13,0.3655
DELL,Dell Technologies Inc.,Computer Hardware,Technology,1.45,0.24190001
DAL,"Delta Air Lines, Inc.",Airlines,Industrials,1.12,0.0881
DVN,Devon Energy Corporation,Oil & Gas E&P,Energy,1.94,0.23020001
DXCM,"DexCom, Inc.",Medical Devices,Healthcare,,0.0
FANG,"Diamondback Energy, Inc.",Oil & Gas E&P,Energy,2.17,0.6981
DLR,"Digital Realty Trust, Inc.",REIT - Specialty,Real Estate,2.69,1.3630999
DG,Dollar General Corporation,Discount Stores,Consumer Defensive,1.97,0.3445
DLTR,"Dollar Tree, Inc.",Discount Stores,Consumer Defensive,,0.0
D,"Dominion Energy, Inc.",Utilities - Regulated Electric,Utilities,4.25,0.76949996
DPZ,Domino's Pizza Inc,Restaurants,Consumer Cyclical,2.15,0.3961
DASH,"DoorDash, Inc.",Internet Retail,Consumer Cyclical,,0.0
DOV,Dover Corporation,Specialty Industrial Machinery,Industrials,1.01,0.2597
DOW,Dow Inc.,Chemicals,Basic Materials,4.23,7.0
DHI,"D.R. Horton, Inc.",Residential Construction,Consumer Cyclical,1.29,0.15010001
DTE,DTE Energy Company,Utilities - Regulated Electric,Utilities,3.05,0.6309
DUK,Duke Energy Corporation (Holdin,Utilities - Regulated Electric,Utilities,3.22,0.6688
DD,"DuPont de Nemours, Inc.",Specialty Chemicals,Basic Materials,1.76,6.8095
ETN,"Eaton Corporation, PLC",Specialty Industrial Machinery,Industrials,1.22,0.39810002
EBAY,eBay Inc.,Internet Retail,Consumer Cyclical,1.32,0.2723
SATS,EchoStar Corporation,Telecom Services,Communication Services,,0.0
ECL,Ecolab Inc.,Specialty Chemicals,Basic Materials,1.04,0.36810002
EIX,Edison International,Utilities - Regulated Electric,Utilities,4.78,0.2909
EW,Edwards Lifesciences Corporatio,Medical Devices,Healthcare,,0.0
EA,Electronic Arts Inc.,Electronic Gaming & Multimedia,Communication Services,0.37,0.2846
ELV,"Elevance Health, Inc.",Healthcare Plans,Healthcare,2.29,0.2713
EME,"EMCOR Group, Inc.",Engineering & Construction,Industrials,0.21,0.0355
EMR,Emerson Electric Company,Specialty Industrial Machinery,Industrials,1.69,0.5239
ETR,Entergy Corporation,Utilities - Regulated Electric,Utilities,2.16,0.624
EOG,"EOG Resources, Inc.",Oil & Gas E&P,Energy,2.86,0.4326
EPAM,"EPAM Systems, Inc.",Information Technology Services,Technology,,0.0
EQT,EQT Corporation,Oil & Gas E&P,Energy,1.11,0.1926
EFX,"Equifax, Inc.",Consulting Services,Industrials,1.13,0.35529998
EQIX,"Equinix, Inc.",REIT - Specialty,Real Estate,1.92,1.3634
EQR,Equity Residential,REIT - Residential,Real Estate,4.66,0.9435
ERIE,Erie Indemnity Company,Insurance Brokers,Financial Services,2.34,0.5199
ESS,"Essex Property Trust, Inc.",REIT - Residential,Real Estate,4.16,0.9885
EL,"Estee Lauder Companies, Inc. (T",Household & Personal Products,Consumer Defensive,2.03,4.7143
EG,"Everest Group, Ltd.",Insurance - Reinsurance,Financial Services,2.45,0.2116
EVRG,"Evergy, Inc.",Utilities - Regulated Electric,Utilities,3.36,0.737
ES,Eversource Energy (D/B/A),Utilities - Regulated Electric,Utilities,4.53,0.66010004
EXC,Exelon Corporation,Utilities - Regulated Electric,Utilities,3.41,0.5861
EXE,Expand Energy Corporation,Oil & Gas E&P,Energy,3.07,0.42139998
EXPE,"Expedia Group, Inc.",Travel Services,Consumer Cyclical,0.75,0.16309999
EXPD,Expeditors International of Was,Integrated Freight & Logistics,Industrials,1.06,0.2588
EXR,Extra Space Storage Inc,REIT - Industrial,Real Estate,4.84,1.4117999
XOM,Exxon Mobil Corporation,Oil & Gas Integrated,Energy,2.56,0.597
FFIV,"F5, Inc.",Software - Infrastructure,Technology,,0.0
FDS,FactSet Research Systems Inc.,Financial Data & Stock Exchanges,Financial Services,1.93,0.2831
FICO,Fair Isaac Corporation,Software - Application,Technology,,0.0
FAST,Fastenal Company,Industrial Distribution,Industrials,1.94,0.8028
FRT,Federal Realty Investment Trust,REIT - Retail,Real Estate,4.2,0.953
FDX,FedEx Corporation,Integrated Freight & Logistics,Industrials,1.6,0.3059
FIS,Fidelity National Information S,Information Technology Services,Technology,3.54,2.1917999
FITB,Fifth Third Bancorp,Banks - Regional,Financial Services,3.4,0.4363
FSLR,"First Solar, Inc.",Solar,Technology,,0.0
FE,FirstEnergy Corp.,Utilities - Regulated Electric,Utilities,3.63,1.0
FISV,"Fiserv, Inc.",,,,
F,Ford Motor Company,Auto Manufacturers,Consumer Cyclical,5.17,0.641
FTNT,"Fortinet, Inc.",Software - Infrastructure,Technology,,0.0
FTV,Fortive Corporation,Scientific & Technical Instruments,Technology,0.46,0.1761
FOXA,Fox Corporation,Entertainment,Communication Services,0.96,0.1319
FOX,Fox Corporation,Entertainment,Communication Services,1.06,0.1319
BEN,"Franklin Resources, Inc.",Asset Management,Financial Services,5.64,1.1944001
FCX,"Freeport-McMoRan, Inc.",Copper,Basic Materials,0.98,0.39470002
GRMN,Garmin Ltd.,Scientific & Technical Instruments,Technology,1.77,0.4016
IT,"Gartner, Inc.",Information Technology Services,Technology,,0.0
GE,GE Aerospace,Aerospace & Defense,Industrials,0.67,0.17889999
GEHC,GE HealthCare Technologies Inc.,Medical Devices,Healthcare,0.2,0.0308
GEV,GE Vernova Inc.,Specialty Industrial Machinery,Industrials,0.17,0.070700005
GEN,Gen Digital Inc.,Software - Infrastructure,Technology,2.65,0.5155
GNRC,Generac Holdlings Inc.,Specialty Industrial Machinery,Industrials,,0.0
GD,General Dynamics Corporation,Aerospace & Defense,Industrials,1.74,0.38830003
GIS,"General Mills, Inc.",Packaged Foods,Consumer Defensive,6.52,0.5941
GM,General Motors Company,Auto Manufacturers,Consumer Cyclical,0.99,0.1743
GPC,Genuine Parts Company,Auto Parts,Consumer Cyclical,4.11,8.766
GILD,"Gilead Sciences, Inc.",Drug Manufacturers - General,Healthcare,2.35,0.4661
GPN,Global Payments Inc.,Specialty Business Services,Industrials,1.56,0.22569999
GL,Globe Life Inc.,Insurance - Life,Financial Services,0.93,0.076799996
GDDY,GoDaddy Inc.,Software - Infrastructure,Technology,,0.0
GS,"Goldman Sachs Group, Inc. (The)",Capital Markets,Financial Services,2.09,0.2728
HAL,Halliburton Company,Oil & Gas Equipment & Services,Energy,1.78,0.45330003
HIG,"The Hartford Insurance Group, I",Insurance - Diversified,Financial Services,1.76,0.16219999
HAS,"Hasbro, Inc.",Leisure,Consumer Cyclical,3.11,0.92410004
HCA,"HCA Healthcare, Inc.",Medical Care Facilities,Healthcare,0.66,0.1017
DOC,"Healthpeak Properties, Inc.",REIT - Healthcare Facilities,Real Estate,7.39,12.2003
HSIC,"Henry Schein, Inc.",Medical Distribution,Healthcare,,0.0
HSY,The Hershey Company,Confectioners,Consumer Defensive,2.82,1.2627
HPE,Hewlett Packard Enterprise Comp,Communication Equipment,Technology,2.32,0.6118
HLT,Hilton Worldwide Holdings Inc.,Lodging,Consumer Cyclical,0.2,0.098000005
HOLX,"Hologic, Inc.",Medical Instruments & Supplies,Healthcare,,0.0
HD,"Home Depot, Inc. (The)",Home Improvement Retail,Consumer Cyclical,2.9,0.6465
HON,Honeywell International Inc.,Conglomerates,Industrials,2.07,0.65989995
HRL,Hormel Foods Corporation,Packaged Foods,Consumer Defensive,5.3,1.3061999
HST,"Host Hotels & Resorts, Inc.",REIT - Hotel & Motel,Real Estate,4.18,0.72730005
HWM,Howmet Aerospace Inc.,Aerospace & Defense,Industrials,0.2,0.118599996
HPQ,HP Inc.,Computer Hardware,Technology,6.15,0.4425
HUBB,Hubbell Inc,Electrical Equipment & Parts,Industrials,1.15,0.32529998
HUM,Humana Inc.,Healthcare Plans,Healthcare,1.99,0.35979998
HBAN,Huntington Bancshares Incorpora,Banks - Regional,Financial Services,3.93,0.44599998
HII,"Huntington Ingalls Industries, ",Aerospace & Defense,Industrials,1.39,0.35279998
IBM,International Business Machines,Information Technology Services,Technology,2.71,0.6023
IEX,IDEX Corporation,Specialty Industrial Machinery,Industrials,1.49,0.4399
IDXX,"IDEXX Laboratories, Inc.",Diagnostics & Research,Healthcare,,0.0
ITW,Illinois Tool Works Inc.,Specialty Industrial Machinery,Industrials,2.49,0.59290004
INCY,Incyte Corporation,Biotechnology,Healthcare,,0.0
IR,Ingersoll Rand Inc.,Specialty Industrial Machinery,Industrials,0.1,0.0552
PODD,Insulet Corporation,Medical Devices,Healthcare,,0.0
INTC,Intel Corporation,Semiconductors,Technology,,0.0
IBKR,"Interactive Brokers Group, Inc.",Capital Markets,Financial Services,0.47,0.1363
ICE,Intercontinental Exchange Inc.,Financial Data & Stock Exchanges,Financial Services,1.28,0.3328
IFF,International Flavors & Fragran,Specialty Chemicals,Basic Materials,2.21,1.6841999
IP,International Paper Company,Packaging & Containers,Consumer Cyclical,5.32,1.5812
INTU,Intuit Inc.,Software - Application,Technology,1.1,0.2915
ISRG,"Intuitive Surgical, Inc.",Medical Instruments & Supplies,Healthcare,,0.0
IVZ,Invesco Ltd,Asset Management,Financial Services,3.48,0.5646
INVH,Invitation Homes Inc.,REIT - Residential,Real Estate,4.7,1.2188
IQV,"IQVIA Holdings, Inc.",Diagnostics & Research,Healthcare,,0.0
IRM,Iron Mountain Incorporated (Del,REIT - Specialty,Real Estate,3.35,6.5694
JBHT,"J.B. Hunt Transport Services, I",Integrated Freight & Logistics,Industrials,0.84,0.2876
JBL,Jabil Inc.,Electronic Components,Technology,0.12,0.0431
JKHY,"Jack Henry & Associates, Inc.",Information Technology Services,Technology,1.49,0.33290002
J,Jacobs Solutions Inc.,Engineering & Construction,Industrials,1.12,0.3377
JNJ,Johnson & Johnson,Drug Manufacturers - General,Healthcare,2.14,0.466
JCI,Johnson Controls International ,Building Products & Equipment,Industrials,1.2,0.5168
JPM,JP Morgan Chase & Co.,Banks - Diversified,Financial Services,2.04,0.2897
KVUE,Kenvue Inc.,Household & Personal Products,Consumer Defensive,4.84,1.0855
KDP,Keurig Dr Pepper Inc.,Beverages - Non-Alcoholic,Consumer Defensive,3.63,0.6013
KEY,KeyCorp,Banks - Regional,Financial Services,4.01,0.5395
KEYS,Keysight Technologies Inc.,Scientific & Technical Instruments,Technology,,0.0
KMB,Kimberly-Clark Corporation,Household & Personal Products,Consumer Defensive,5.33,1.037
KIM,Kimco Realty Corporation (HC),REIT - Retail,Real Estate,4.6,1.2317
KMI,"Kinder Morgan, Inc.",Oil & Gas Midstream,Energy,3.55,0.85040003
KKR,KKR & Co. Inc.,Asset Management,Financial Services,0.81,0.312
KLAC,KLA Corporation,Semiconductor Equipment & Materials,Technology,0.5,0.21540001
KHC,The Kraft Heinz Company,Packaged Foods,Consumer Defensive,7.02,0.7306
KR,Kroger Company (The),Grocery Stores,Consumer Defensive,1.94,0.8701
LHX,"L3Harris Technologies, Inc.",Aerospace & Defense,Industrials,1.4,0.56270003
LH,Labcorp Holdings Inc.,Diagnostics & Research,Healthcare,1.05,0.2753
LRCX,Lam Research Corporation,Semiconductor Equipment & Materials,Technology,0.48,0.20120001
LVS,Las Vegas Sands Corp.,Resorts & Casinos,Consumer Cyclical,1.93,0.4255
LDOS,"Leidos Holdings, Inc.",Information Technology Services,Technology,1.05,0.1463
LEN,Lennar Corporation,Residential Construction,Consumer Cyclical,2.31,0.2878
LII,"Lennox International, Inc.",Building Products & Equipment,Industrials,1.14,0.2216
LLY,Eli Lilly and Company,Drug Manufacturers - General,Healthcare,0.67,0.26139998
LIN,Linde plc,Specialty Chemicals,Basic Materials,1.27,0.4107
LYV,"Live Nation Entertainment, Inc.",Entertainment,Communication Services,,0.0
LMT,Lockheed Martin Corporation,Aerospace & Defense,Industrials,2.17,0.62119997
L,Loews Corporation,Insurance - Property & Casualty,Financial Services,0.23,0.031400003
LOW,"Lowe's Companies, Inc.",Home Improvement Retail,Consumer Cyclical,2.08,0.40080002
LULU,lululemon athletica inc.,Apparel Retail,Consumer Cyclical,,0.0
LITE,Lumentum Holdings Inc.,Communication Equipment,Technology,,0.0
LYB,LyondellBasell Industries NV,Specialty Chemicals,Basic Materials,6.03,11.468101
MTB,M&T Bank Corporation,Banks - Regional,Financial Services,2.85,0.3353
MPC,Marathon Petroleum Corporation,Oil & Gas Refining & Marketing,Energy,1.58,0.2821
MAR,Marriott International,Lodging,Consumer Cyclical,0.81,0.2776
MRSH,Marsh,Insurance Brokers,Financial Services,2.06,0.4069
MLM,"Martin Marietta Materials, Inc.",Building Materials,Basic Materials,0.56,0.1983
MAS,Masco Corporation,Building Products & Equipment,Industrials,2.17,0.32119998
MA,Mastercard Incorporated,Credit Services,Financial Services,0.71,0.184
MKC,"McCormick & Company, Incorporat",Packaged Foods,Consumer Defensive,3.93,0.3
MCD,McDonald's Corporation,Restaurants,Consumer Cyclical,2.42,0.6
MCK,McKesson Corporation,Medical Distribution,Healthcare,0.37,0.0883
MDT,Medtronic plc.,Medical Devices,Healthcare,3.28,0.79050004
MRK,"Merck & Company, Inc.",Drug Manufacturers - General,Healthcare,2.81,0.45049998
META,"Meta Platforms, Inc.",Internet Content & Information,Communication Services,0.37,0.08939999
MET,"MetLife, Inc.",Insurance - Life,Financial Services,3.21,0.4772
MTD,"Mettler-Toledo International, I",Diagnostics & Research,Healthcare,,0.0
MGM,MGM Resorts International,Resorts & Casinos,Consumer Cyclical,,0.0
MCHP,Microchip Technology Incorporat,Semiconductors,Technology,2.77,3.1772
MU,"Micron Technology, Inc.",Semiconductors,Technology,0.16,0.0217
MSFT,Microsoft Corporation,Software - Infrastructure,Technology,0.97,0.21280001
MAA,Mid-America Apartment Communiti,REIT - Residential,Real Estate,4.9,1.6032001
MRNA,"Moderna, Inc.",Biotechnology,Healthcare,,0.0
TAP,Molson Coors Beverage Company,Beverages - Brewers,Consumer Defensive,4.36,0.35900003
MDLZ,"Mondelez International, Inc.",Confectioners,Consumer Defensive,3.48,1.0265
MPWR,"Monolithic Power Systems, Inc.",Semiconductors,Technology,0.72,0.48520002
MNST,Monster Beverage Corporation,Beverages - Non-Alcoholic,Consumer Defensive,,0.0
MCO,Moody's Corporation,Financial Data & Stock Exchanges,Financial Services,0.93,0.2751
MS,Morgan Stanley,Capital Markets,Financial Services,2.41,0.3771
MOS,Mosaic Company (The),Agricultural Inputs,Basic Materials,3.36,0.5176
MSI,"Motorola Solutions, Inc.",Communication Equipment,Technology,1.1,0.3514
MSCI,MSCI Inc.,Financial Data & Stock Exchanges,Financial Services,1.51,0.4589
NDAQ,"Nasdaq, Inc.",Financial Data & Stock Exchanges,Financial Services,1.25,0.3398
NTAP,"NetApp, Inc.",Software - Infrastructure,Technology,2.01,0.349
NFLX,"Netflix, Inc.",Entertainment,Communication Services,,0.0
NEM,Newmont Corporation,Gold,Basic Materials,0.91,0.1565
NWSA,News Corporation,Entertainment,Communication Services,0.82,0.2597
NWS,News Corporation,Entertainment,Communication Services,0.71,0.2597
NEE,"NextEra Energy, Inc.",Utilities - Regulated Electric,Utilities,2.68,0.6867
NKE,"Nike, Inc.",Footwear & Accessories,Consumer Cyclical,3.71,1.0658001
NI,NiSource Inc,Utilities - Regulated Gas,Utilities,2.53,0.5744
NDSN,Nordson Corporation,Specialty Industrial Machinery,Industrials,1.25,0.3463
NSC,Norfolk Southern Corporation,Railroads,Industrials,1.88,0.42349997
NTRS,Northern Trust Corporation,Asset Management,Financial Services,2.21,0.3547
NOC,Northrop Grumman Corporation,Aerospace & Defense,Industrials,1.32,0.3091
NCLH,Norwegian Cruise Line Holdings ,Travel Services,Consumer Cyclical,,0.0
NRG,"NRG Energy, Inc.",Utilities - Independent Power Producers,Utilities,1.24,0.4389
NUE,Nucor Corporation,Steel,Basic Materials,1.3,0.29389998
NVDA,NVIDIA Corporation,Semiconductors,Technology,0.02,0.0082
NVR,"NVR, Inc.",Residential Construction,Consumer Cyclical,,0.0
NXPI,NXP Semiconductors N.V.,Semiconductors,Technology,2.08,0.5102
ORLY,"O'Reilly Automotive, Inc.",Auto Parts,Consumer Cyclical,,0.0
OXY,Occidental Petroleum Corporatio,Oil & Gas E&P,Energy,1.65,0.7111
ODFL,"Old Dominion Freight Line, Inc.",Trucking,Industrials,0.59,0.2314
